City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
111,Pangnirtung,66.1451,-65.7125,-4.0,84,40,2.3,scattered clouds,CA,2021-12-11 20:21:34
112,Izumo,35.3667,132.7667,49.95,81,100,11.3,overcast clouds,JP,2021-12-11 20:21:34
113,Port Elizabeth,-33.918,25.5701,66.09,79,100,6.11,overcast clouds,ZA,2021-12-11 20:21:34
114,Mataura,-46.1927,168.8643,51.48,56,57,2.04,broken clouds,NZ,2021-12-11 20:21:34
115,Ponta Do Sol,32.6667,-17.1,66.0,75,43,5.64,scattered clouds,PT,2021-12-11 20:21:35
116,Arapiraca,-9.7525,-36.6611,84.2,49,28,18.68,scattered clouds,BR,2021-12-11 20:20:02
117,Santa Isabel Do Rio Negro,-0.4139,-65.0192,75.87,97,100,2.73,heavy intensity rain,BR,2021-12-11 20:21:35
118,Vaini,-21.2,-175.2,82.56,83,40,5.75,scattered clouds,TO,2021-12-11 20:17:25
119,Natchez,31.5604,-91.4032,56.64,57,90,10.36,overcast clouds,US,2021-12-11 20:21:36
120,Bubaque,11.2833,-15.8333,81.7,73,47,12.19,scattered clouds,GW,2021-12-11 20:21:36
121,Lebu,-37.6167,-73.65,58.64,64,1,8.68,clear sky,CL,2021-12-11 20:21:37
122,Baoning,25.3378,110.026,58.86,67,75,6.71,haze,CN,2021-12-11 20:21:37
123,Dikson,73.5069,80.5464,-15.23,83,100,5.84,overcast clouds,RU,2021-12-11 20:21:37
124,Kapchorwa,1.3965,34.4509,62.04,47,29,8.23,scattered clouds,UG,2021-12-11 20:21:38
125,Ornskoldsvik,63.2909,18.7153,30.02,100,90,3.44,light snow,SE,2021-12-11 20:21:38
126,Noshiro,40.2039,140.0242,46.11,73,98,6.31,overcast clouds,JP,2021-12-11 20:21:39
127,Beroroha,-21.6667,45.1667,79.47,71,82,2.1,broken clouds,MG,2021-12-11 20:21:39
128,Butaritari,3.0707,172.7902,82.54,73,100,16.91,overcast clouds,KI,2021-12-11 20:21:39
129,Half Moon Bay,37.4636,-122.4286,59.72,65,1,5.75,clear sky,US,2021-12-11 20:21:39
130,Cozumel,20.5083,-86.9458,84.27,75,40,8.01,scattered clouds,MX,2021-12-11 20:21:40
131,Naze,28.3667,129.4833,62.73,62,0,4.56,clear sky,JP,2021-12-11 20:21:40
132,Bobrovka,54.047,61.7455,10.02,90,6,8.3,clear sky,RU,2021-12-11 20:21:41
133,Toledo,39.8333,-4.0,57.07,80,0,5.61,clear sky,ES,2021-12-11 20:22:41
134,Faya,18.3851,42.4509,50.52,40,1,5.08,clear sky,SA,2021-12-11 20:22:41
135,Bridgetown,13.1,-59.6167,81.09,74,40,18.41,scattered clouds,BB,2021-12-11 20:17:55
136,Tuktoyaktuk,69.4541,-133.0374,-2.2,84,90,9.22,overcast clouds,CA,2021-12-11 20:22:42
137,Batagay-Alyta,67.8006,130.4114,-19.91,100,100,0.83,overcast clouds,RU,2021-12-11 20:22:42
138,Sorland,67.667,12.6934,38.71,69,100,8.68,light rain,NO,2021-12-11 20:22:42
139,Carutapera,-1.195,-46.02,83.68,71,43,9.35,scattered clouds,BR,2021-12-11 20:22:43
140,Port-Cartier,50.0334,-66.8654,19.51,92,100,14.58,snow,CA,2021-12-11 20:22:43
141,Eldorado,-23.7869,-54.2836,94.08,17,100,2.53,overcast clouds,BR,2021-12-11 20:21:27
142,Poum,-20.2333,164.0167,81.88,80,100,16.73,overcast clouds,NC,2021-12-11 20:22:43
143,Imbituba,-28.24,-48.6703,78.69,81,100,8.16,overcast clouds,BR,2021-12-11 20:22:43
144,Nioro,13.35,-15.75,81.09,39,100,8.97,overcast clouds,GM,2021-12-11 20:22:44
145,Sabha,27.0377,14.4283,55.87,34,84,5.19,broken clouds,LY,2021-12-11 20:18:26
146,Georgetown,5.4112,100.3354,80.89,80,20,0.0,few clouds,MY,2021-12-11 20:22:44
147,Fairbanks,64.8378,-147.7164,0.1,77,90,5.01,light snow,US,2021-12-11 20:22:44
148,Eureka,40.8021,-124.1637,50.2,79,100,7.0,moderate rain,US,2021-12-11 20:18:39
149,Lahaina,20.8783,-156.6825,78.94,68,64,8.52,broken clouds,US,2021-12-11 20:22:45
150,Talnakh,69.4865,88.3972,-26.81,82,75,2.53,broken clouds,RU,2021-12-11 20:22:45
151,Adrar,20.5022,-10.0711,70.9,14,78,11.1,broken clouds,MR,2021-12-11 20:22:46
152,Kodiak,57.79,-152.4072,17.11,57,40,27.63,scattered clouds,US,2021-12-11 20:22:46
153,Katsuura,35.1333,140.3,56.19,65,33,10.25,scattered clouds,JP,2021-12-11 20:22:46
154,Ayagoz,47.9714,80.4392,-4.97,84,74,4.65,broken clouds,KZ,2021-12-11 20:22:46
155,Talaya,61.3833,152.75,-27.51,100,100,0.67,overcast clouds,RU,2021-12-11 20:22:47
